Journal,Title,Link,Independent Variables,Dependent Variables,Metrics,Useful Search Terms,Potential Moderator Variables,Keep?,Reason for Keeping/Discarding,
IEEE VR,Getting the Point Across: Exploring the Effects of Dynamic Virtual Humans in an Interactive Museum Exhibit on User Perceptions,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6777429,,,,,,MAYBE,,
IEEE VR,Increasing Agent Physicality to Raise Social Presence and Elicit Realistic Behavior,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6180871,,,,,,MAYBE,Yes. Get full data?,
IEEE VR,Show Some Respect! The Impact of Technological Factors on the Treatment of Virtual Humans in Conversational Training Systems  ,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5444769,,,,,,NO,NO OBVIOUS CONNECTION TO SP,
IEEE VR,Virtual Humans That Touch Back: Enhancing Nonverbal Communication with Virtual Humans through Bidirectional Touch  ,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4811019,,,,,,YES,,
ISPR,"Collaboration, Presence and Performance in Virtual Learning Environments: ",http://www.temple.edu/ispr/prev_conferences/proceedings/2002/Final%20papers/Romano%20and%20Brna.pdf,,,,,,YES,,
ISPR,Effects of Facial and Voice Similarity on Presence in a Public Speaking Virtual Environment ,http://www.temple.edu/ispr/prev_conferences/proceedings/2012/10_Aymerich.pdf,,,,,,YES,,
ISPR,"Effects of simulated gaze on social presence, person perception and personality attribution in avatar-mediated communication","http://www.temple.edu/ispr/prev_conferences/proceedings/2007/Bente,%20Eschenburg,%20and%20Aelker.pdf",,,,,,YES,,
ISPR,Presence-Related Influences of a Small Talking Facial Image on Psychophysiological Measures of Emotion and Attention,http://www.temple.edu/ispr/prev_conferences/proceedings/2002/Final%20papers/Ravaja.pdf,,,,,,NO,Not rendered,
ISPR,Social-Psychological Origins of Feelings of Presence: Creating Social Presence with Machine-Generated Voices ,http://www.temple.edu/ispr/prev_conferences/proceedings/2001/Lee.pdf,,,,,,YES,,
ISPR,"The Effect of Viewer Perceptions of Avatar Anthropomorphism and Realism on Judgments of Credibility and Homophily, and Avatar Choice",http://www.temple.edu/ispr/prev_conferences/proceedings/2008/nowak.pdf,,,,,,NO,"I'm not sure that homophily has a relation to (is not orthogonal to) social presence: for example, imagine a black person who meets a KKK member in real life. It's real life, so socially present for sure, but I wouldn't imagine there being any homophily",
ISPR,The Impact of Avatar Blushing on the Duration of Interaction between a Real and Virtual Person,http://www.temple.edu/ispr/prev_conferences/proceedings/2008/pan.pdf,,,,,,YES,,
ISPR,The Role of Realism and Anthropomorphism in the Selection of Avatars ,http://www.temple.edu/ispr/prev_conferences/proceedings/2009/Hamilton_e_al.pdf,,,,,,NO,"I'm not sure that homophily has a relation to (is not orthogonal to) social presence: for example, imagine a black person who meets a KKK member in real life. It's real life, so socially present for sure, but I wouldn't imagine there being any homophily",
ISPR,Who´s there? Can a Virtual Agent Really Elicit Social Presence? ,http://www.temple.edu/ispr/prev_conferences/proceedings/2009/vonderPutten.pdf,,,,,,YES,,
ISPR,Collaborative Decision-Making and Presence in Shared Dynamic Virtual Environments,"http://www.temple.edu/ispr/prev_conferences/proceedings/98-99-2000/1998/Romano,%20Brna,%20Self.pdf",,,,,,YES,,
